job_id,title,company,category,category_slug,level,salary,salary_value,salary_currency,format,location,date_posted,employment_type,direct_apply,apply_button_label,apply_direct_kind,description,skills,qualifications,benefits,url
24786,DevOps engineer,iStaff-IT,DevOps,devops,senior,~ от 244 000 ₽,244000,RUB,,Удаленно,2026-02-02T12:48:23.288225,FULL_TIME,true,,,"iStaff-IT ведёт аутстафф проекты, 90% из которых — финтех и банки. Вам нужно будет настраивать Linux и сети, писать CI/CD пайплайны в GitLab, Jenkins, Teamcity, работать с Ansible и Terraform, развертывать сервисы в Docker и Kubernetes, администрировать Nginx, PostgreSQL, MinIO, Keycloak, Redis,...","Экспертиза в Linux и сетях;Знание bash (Python будет плюсом);Опыт написания CI/CD пайплайнов;Практика с GitLab (Bitbucket), Jenkins, Teamcity, Ansible, Terraform, Grafana, Zabbix,...",senior level position,Удалённая работа;Оформление по ТК или ИП;Сфера проектов: 90% финтех/банки.,https://hirehi.ru/devops/devops-engineer-24786
24787,Системный Аналитик,iStaff-IT,Аналитика,analytics,senior,~ от 242 500 ₽,242500,RUB,,Удаленно,2026-02-02T12:50:22.460337,FULL_TIME,true,,,"Аутстафф компания работает на финтех проектах. Вам нужно будет собирать требования с заказчика и оформлять их в Use Cases, User Story, CJM, User Story Map, проектировать и моделировать с нотациями UML и BPMN, работать с базами данных Oracle, PostgreSQL, MSSQL и составлять сложные SQL-запросы,...","Владение основами системного анализа и системным мышлением;Опыт сбора требований с заказчика и их формализации в Use Cases, User Story, CJM, User Story Map;Знание нотаций и инструментов...",senior level position,Оформление через ТК или ИП;Сфера проектов: 70-90% финтех и банки.,https://hirehi.ru/analytics/sistemnyi-analitik-24787
24836,Проектный менеджер IT,Системы документооборота,Менеджмент,management,junior,,,,,Казан,2026-02-02T14:26:51.607067,FULL_TIME,true,,,"Привет! HR-команда компании ""Системы документооборота Практика"" в поисках коллеги на позицию проектного менеджера IT! (удаленку не рассматриваем, нужен человек фулл тайм в офис). Основным направлением работы компании является разработка системы электронного документооборота «Практика». На...","Наличие высшего очного образования и средний балл от 4,2;Понимание технической стороны разработки: знание жизненного цикла ПО, методологий (Agile, Scrum, Waterfall);Опыт работы в сфере IT на...",junior level position,"Официальное трудоустройство в соответствии с ТК РФ: белая заработная плата, оформление с первого дня, оплата больничных, отпусков;График работы: пн-пт 5/2 (с 9:00 до 18:00 ) - только офисный...",https://hirehi.ru/management/proektnyi-menedzher-it-24836
24838,Разработчик PHP,Системы документооборота,Разработка,development,senior,от 150 000 ₽,150000,RUB,офис Казань,Казань,2026-02-02T14:28:43.264291,FULL_TIME,true,,,"Мы компания ООО ""Системы документооборота"" занимаемся разработкой быстрой и надёжной системы электронного документооборота для государственного сектора и коммерческих компаний более 20 лет. Наш основной продукт — СЭД «Практика», которая обеспечивает эффективный обмен документами между различными...",Коммерческий опыт в PHP от 4-х лет;Знание принципов ООП и шаблонов проектирования;Знание языка SQL;Опыт использования систем контроля версий git;Будет плюсом;Опыт разработки под промышленные СУБД...,senior level position,"Мы — аккредитованная IT-компания, что позволяет сотрудникам получить IT-ипотеку и отсрочку от армии;Офис в центре города, в IT-парке — место, где технологии живут и развиваются;Менторство и...",https://hirehi.ru/development/razrabotchik-php-24838
24856,ML Engineer,EvApps,Разработка,development,middle,~ от 200 ₽,200,RUB,,Удаленно,2026-02-02T15:28:10.464417,FULL_TIME,true,,,"Мы — EvApps, IT-компания, создающая программные решения любой сложности: корпоративные порталы, облачные сервисы, мобильные приложения, информационные системы для бизнеса и государственных структур. Работаем с российскими и зарубежными заказчиками, с 2019 года развиваем IT-аутстаффинг....","Опыт работы ML-инженером/Data Scientist от 3 лет;Подтвержденный опыт разработки и внедрения ML-моделей в продакшн (минимум 3-5 проектов, минимум 1 проект - с нуля до продакшен + мониторинг +...",middle level position,Зарплата от 180 до 220 тыс на руки;Работа в продуктивном аутстафф-формате: участие в реальных продуктовых командах заказчиков;Оплачиваем тестовое задание при трудоустройстве - если тест...,https://hirehi.ru/development/ml-engineer-24856
